SectorName,CompanyName
Architectural and Design Services,Staron Egypt
Construction - Industrial Facilities and Infrastructure,Staron Egypt
Business Services - Other,IT Cores
Computer Software,IT Cores
Information Technology Services,IT Cores
Information Technology Services,ZE LOGIC
Engineering Services,Brilliant Engineering
Logistics and Supply Chain,Brilliant Engineering
Computer Games,UMX Studio
Higher Education,ESLSCA University
Education,ESLSCA University
Computer Software,Ebla
Information Technology Services,Ebla
Business Services - Other,PyramidBITS
Computer and Network Security,PyramidBITS
Information Technology Services,PyramidBITS
Computer Software,webSTDY
Information Technology Services,webSTDY
Information Technology Services,Ditech Egypt
Computer Software,Rowaad
Engineering Services,Advansys for Trading & Contracting
Information Technology Services,URANIUM
FMCG,Dreem Mashreq Foods
Marketing and Advertising,Be Group
Manufacturing,FlexFilms Egypt
Packaging and Containers,FlexFilms Egypt
Plastics,FlexFilms Egypt
Food Services/Restaurants/Catering,شركة توصيل الخليجية للتجارة
